Sample Set,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Position8,Position9,Position10
1,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
2,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
3,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
4,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
5,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
6,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
7,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
8,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
9,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
10,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
11,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
12,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
13,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
14,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
15,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
16,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
17,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
18,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
19,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
20,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
21,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
22,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
23,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
24,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
25,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
26,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
27,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
28,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
29,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
30,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
31,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
32,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
33,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
34,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
35,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
36,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
37,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
38,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
39,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
40,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
41,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
42,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
43,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
44,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
45,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
46,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
47,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
48,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
49,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
50,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
51,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
52,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
53,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
54,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
55,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
56,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
57,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
58,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
59,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
60,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
61,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
62,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
63,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
64,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
65,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
66,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
67,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
68,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
69,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
70,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
71,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
72,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
73,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
74,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
75,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
76,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
77,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
78,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
79,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
80,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
81,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
82,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
83,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
84,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
85,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
86,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
87,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
88,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
89,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
90,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
91,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
92,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
93,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
94,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
95,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
96,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
97,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
98,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
99,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
100,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
101,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
102,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
103,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
104,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
105,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
106,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
107,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
108,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
109,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
110,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
111,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
112,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
113,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
114,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
115,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
116,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
117,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
118,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
119,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
120,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
121,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
122,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
123,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
124,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
125,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
126,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
127,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
128,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
129,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
130,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
131,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
132,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
133,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
134,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
135,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
136,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
137,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
138,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
139,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
140,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
141,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
142,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
143,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
144,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
145,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
146,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
147,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
148,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
149,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
150,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
151,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
152,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
153,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
154,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
155,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
156,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
157,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
158,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
159,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
160,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
161,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
162,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
163,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
164,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
165,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
166,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
167,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
168,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
169,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
170,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
171,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
172,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
173,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
174,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
175,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
176,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
177,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
178,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
179,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
180,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
181,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
182,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
183,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
184,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
185,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
186,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
187,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
188,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
189,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
190,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
191,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
192,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
193,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
194,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
195,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
196,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
197,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
198,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
199,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
200,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
201,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
202,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
203,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
204,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
205,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
206,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
207,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
208,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
209,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
210,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
211,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
212,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
213,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
214,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
215,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
216,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
217,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
218,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
219,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
220,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
221,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
222,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
223,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
224,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
225,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
226,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
227,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
228,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
229,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
230,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
231,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
232,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
233,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
234,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
235,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
236,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
237,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
238,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
239,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
240,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
